MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,RL,70.0,11200,Reg,Inside,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,134,1040,Ex,Y,SBrkr,1040,0,1040,1,0,1,0,3,1,TA,5,0,Detchd,1965.0,Unf,384,TA,TA,Y,0,0,2,2008,WD,Normal,129500
60,RL,85.0,11924,IR1,Inside,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,177,1175,Ex,Y,SBrkr,1182,1142,2324,1,0,3,0,4,1,Ex,11,2,BuiltIn,2005.0,Fin,736,TA,TA,Y,147,21,7,2006,New,Partial,345000
20,RL,,12968,IR2,Inside,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,175,912,TA,Y,SBrkr,912,0,912,1,0,1,0,2,1,TA,4,0,Detchd,1962.0,Unf,352,TA,TA,Y,140,0,9,2008,WD,Normal,144000
20,RL,91.0,10652,IR1,Inside,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,1494,1494,Ex,Y,SBrkr,1494,0,1494,0,0,2,0,3,1,Gd,7,1,Attchd,2006.0,RFn,840,TA,TA,Y,160,33,8,2007,New,Partial,279500
20,RL,,10920,IR1,Corner,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,520,1253,TA,Y,SBrkr,1253,0,1253,1,0,1,1,2,1,TA,5,1,Attchd,1960.0,RFn,352,TA,TA,Y,0,213,5,2008,WD,Normal,157000
45,RM,51.0,6120,Reg,Corner,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,832,832,Ex,Y,FuseA,854,0,854,0,0,1,0,2,1,TA,5,0,Detchd,1991.0,Unf,576,TA,TA,Y,48,112,7,2007,WD,Normal,132000
20,RL,,11241,IR1,CulDSac,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,426,1004,Ex,Y,SBrkr,1004,0,1004,1,0,1,0,2,1,TA,5,1,Attchd,1970.0,Fin,480,TA,TA,Y,0,0,3,2010,WD,Normal,149000
90,RL,72.0,10791,Reg,Inside,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,,,,,0,0,0,TA,Y,SBrkr,1296,0,1296,0,0,2,0,2,2,TA,6,0,CarPort,1967.0,Unf,516,TA,TA,Y,0,0,10,2006,WD,Normal,90000
20,RL,66.0,13695,Reg,Inside,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,468,1114,Ex,Y,SBrkr,1114,0,1114,1,0,1,1,3,1,Gd,6,0,Detchd,2004.0,Unf,576,TA,TA,Y,0,102,6,2008,WD,Normal,159000
20,RL,70.0,7560,Reg,Inside,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,525,1029,TA,Y,SBrkr,1339,0,1339,0,0,1,0,3,1,TA,6,0,Attchd,1958.0,Unf,294,TA,TA,Y,0,0,5,2009,COD,Abnorml,139000
60,RL,101.0,14215,IR1,Corner,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,1158,1158,Ex,Y,SBrkr,1158,1218,2376,0,0,3,1,4,1,Gd,9,1,BuiltIn,2005.0,RFn,853,TA,TA,Y,240,154,11,2006,New,Partial,325300
45,RM,57.0,7449,Reg,Inside,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,637,637,Ex,Y,FuseF,1108,0,1108,0,0,1,0,3,1,Gd,6,1,Attchd,1930.0,Unf,280,TA,TA,N,0,0,6,2007,WD,Normal,139400
20,RL,75.0,9742,Reg,Inside,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,1777,1777,Ex,Y,SBrkr,1795,0,1795,0,0,2,0,3,1,Gd,7,1,Attchd,2002.0,RFn,534,TA,TA,Y,171,159,9,2008,WD,Normal,230000
120,RM,44.0,4224,Reg,Inside,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,200,1040,TA,Y,SBrkr,1060,0,1060,1,0,1,0,3,1,TA,6,1,Attchd,1976.0,Unf,572,TA,TA,Y,100,110,6,2007,WD,Normal,129900
20,RL,,8246,IR1,Inside,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,204,1060,Ex,Y,SBrkr,1060,0,1060,1,0,1,0,3,1,Gd,6,1,Attchd,1968.0,Unf,270,TA,TA,Y,406,90,5,2010,WD,Normal,154000
20,RL,110.0,14230,Reg,Corner,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,1566,1566,Ex,Y,SBrkr,1600,0,1600,0,0,2,0,3,1,Gd,7,1,Attchd,2007.0,RFn,890,TA,TA,Y,0,56,7,2009,WD,Normal,256300
20,RL,60.0,7200,Reg,Corner,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,180,900,TA,Y,SBrkr,900,0,900,0,1,1,0,3,1,Gd,5,0,Detchd,2005.0,Unf,576,TA,TA,Y,222,32,5,2010,WD,Normal,134800
20,RL,98.0,11478,Reg,Inside,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,486,1704,Ex,Y,SBrkr,1704,0,1704,1,0,2,0,3,1,Gd,7,1,Attchd,2008.0,RFn,772,TA,TA,Y,0,50,5,2010,WD,Normal,306000
20,RL,47.0,16321,IR1,CulDSac,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,207,1484,TA,Y,SBrkr,1600,0,1600,1,0,1,0,2,1,TA,6,2,Attchd,1957.0,RFn,319,TA,TA,Y,288,258,12,2006,WD,Normal,207500
30,RM,60.0,6324,IR1,Inside,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,520,520,Fa,N,SBrkr,520,0,520,0,0,1,0,1,1,Fa,4,0,Detchd,1920.0,Unf,240,Fa,TA,Y,49,0,5,2008,WD,Normal,68500
70,C (all),50.0,8500,Reg,Inside,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,649,649,TA,N,SBrkr,649,668,1317,0,0,1,0,3,1,TA,6,0,Detchd,1920.0,Unf,250,TA,Fa,N,0,54,7,2008,WD,Normal,40000
20,RL,,8544,IR1,CulDSac,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,1228,1228,Gd,Y,SBrkr,1228,0,1228,0,0,1,1,3,1,Gd,6,0,Attchd,1966.0,Unf,271,TA,TA,Y,0,65,6,2008,WD,Normal,149350
20,RL,85.0,11049,Reg,Corner,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,1234,1234,Ex,Y,SBrkr,1234,0,1234,0,0,2,0,3,1,Gd,7,0,Attchd,2007.0,RFn,484,TA,TA,Y,0,30,1,2008,WD,Normal,179900
20,RL,70.0,10552,IR1,Inside,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,380,1398,Gd,Y,SBrkr,1700,0,1700,0,1,1,1,4,1,Gd,6,1,Attchd,1959.0,RFn,447,TA,TA,Y,0,38,4,2010,WD,Normal,165500
120,RL,60.0,7313,Reg,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,408,1561,Ex,Y,SBrkr,1561,0,1561,1,0,2,0,2,1,Ex,6,1,Attchd,2005.0,Fin,556,TA,TA,Y,203,47,8,2007,WD,Normal,277500
60,RL,108.0,13418,Reg,Inside,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,1117,1117,Ex,Y,SBrkr,1132,1320,2452,0,0,3,1,4,1,Gd,9,1,BuiltIn,2004.0,Fin,691,TA,TA,Y,113,32,9,2006,WD,Normal,309000
20,RL,112.0,10859,Reg,Corner,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,1097,1097,Ex,Y,SBrkr,1097,0,1097,0,0,1,1,3,1,TA,6,0,Attchd,1995.0,Unf,672,TA,TA,Y,392,64,6,2009,WD,Normal,145000
20,RL,74.0,8532,Reg,Inside,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,84,1297,Gd,Y,SBrkr,1297,0,1297,0,1,1,0,3,1,TA,5,1,Attchd,1954.0,Fin,498,TA,TA,Y,0,0,10,2009,WD,Normal,153000
20,RL,68.0,7922,Reg,Inside,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,326,1057,TA,Y,SBrkr,1057,0,1057,1,0,1,0,3,1,Gd,5,0,Detchd,1953.0,Unf,246,TA,TA,Y,0,52,1,2010,WD,Abnorml,109000
90,RL,65.0,6040,Reg,Inside,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,,,,,0,0,0,TA,N,FuseP,1152,0,1152,0,0,2,0,2,2,Fa,6,0,,,,0,,,N,0,0,6,2008,WD,AdjLand,82000
20,RL,84.0,8658,Reg,Inside,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,445,1088,Ex,Y,SBrkr,1324,0,1324,0,0,2,0,3,1,TA,6,1,Attchd,1965.0,RFn,440,TA,TA,Y,0,138,12,2006,WD,Abnorml,160000
20,RL,115.0,16905,Reg,Inside,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,383,1350,Gd,Y,SBrkr,1328,0,1328,0,1,1,1,2,1,TA,5,2,Attchd,1959.0,RFn,308,TA,TA,P,0,104,7,2007,WD,Normal,170000
85,RL,,9180,IR1,CulDSac,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,0,840,Gd,Y,SBrkr,884,0,884,1,0,1,0,2,1,Gd,5,0,Attchd,1983.0,RFn,504,TA,Gd,Y,240,0,12,2007,WD,Normal,144000
20,RL,,9200,IR1,CulDSac,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,167,938,TA,Y,SBrkr,938,0,938,1,0,1,0,3,1,TA,5,0,Detchd,1977.0,Unf,308,TA,TA,Y,145,0,7,2008,WD,Normal,130250
20,RL,70.0,7945,Reg,Inside,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,465,1150,Ex,Y,FuseA,1150,0,1150,1,0,1,0,3,1,TA,6,0,Attchd,1959.0,RFn,300,TA,TA,Y,0,0,5,2006,WD,Normal,141000
120,RL,61.0,7658,Reg,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,1296,1752,Ex,Y,SBrkr,1752,0,1752,1,0,2,0,2,1,Ex,6,1,Attchd,2005.0,RFn,576,TA,TA,Y,196,82,2,2010,WD,Normal,319900
50,RL,48.0,12822,IR1,CulDSac,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,83,1434,Ex,Y,SBrkr,1518,631,2149,1,0,1,1,1,1,Gd,6,1,Attchd,2003.0,RFn,670,TA,TA,Y,168,43,8,2009,WD,Abnorml,239686
20,FV,84.0,11096,Reg,Inside,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,1632,1656,Ex,Y,SBrkr,1656,0,1656,0,0,2,0,3,1,Gd,7,0,Attchd,2006.0,RFn,826,TA,TA,Y,0,146,7,2007,WD,Normal,249700
190,RM,33.0,4456,Reg,Inside,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,736,736,Gd,Y,SBrkr,736,716,1452,0,0,2,0,2,3,TA,8,0,,,,0,,,N,0,0,6,2009,New,Partial,113000
20,RL,66.0,7742,Reg,Inside,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,192,955,Ex,Y,SBrkr,955,0,955,1,0,1,0,3,1,TA,6,0,Attchd,1966.0,Unf,386,TA,TA,Y,0,0,1,2007,WD,Normal,127000
60,RL,,13869,IR2,Corner,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,612,794,Gd,Y,SBrkr,794,676,1470,0,1,2,0,3,1,TA,6,0,Attchd,1997.0,Fin,388,TA,TA,Y,0,75,7,2007,WD,Normal,177000
50,RM,52.0,6240,Reg,Inside,BrkSide,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,816,816,TA,Y,SBrkr,816,0,1176,0,0,1,0,3,1,TA,6,1,Detchd,1985.0,Unf,528,TA,TA,Y,112,0,9,2006,WD,Normal,114500
90,RM,110.0,8472,IR2,Corner,IDOTRR,RRNn,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,0,816,TA,N,SBrkr,816,0,816,1,0,1,0,2,1,TA,5,0,CarPort,1963.0,Unf,516,TA,TA,Y,106,0,5,2010,WD,Normal,110000
20,RL,68.0,50271,IR1,Inside,Veenker,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,32,1842,Gd,Y,SBrkr,1842,0,1842,2,0,0,1,0,1,Gd,5,1,Attchd,1981.0,Fin,894,TA,TA,Y,857,72,11,2006,WD,Normal,385000
80,RL,60.0,7134,Reg,Inside,NAmes,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,384,0,384,TA,Y,SBrkr,1360,0,1360,0,0,1,0,3,1,TA,6,1,Detchd,1962.0,Unf,572,TA,TA,Y,0,50,2,2007,WD,Normal,130000
20,RL,100.0,10175,IR1,Inside,NAmes,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,490,935,1425,Gd,Y,SBrkr,1425,0,1425,0,0,2,0,3,1,TA,7,1,Attchd,1964.0,RFn,576,TA,TA,Y,0,0,7,2008,WD,Normal,180500
160,FV,24.0,2645,Reg,Inside,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,649,321,970,Ex,Y,SBrkr,983,756,1739,1,0,2,1,3,1,Gd,7,0,Attchd,1999.0,Fin,480,TA,TA,Y,115,0,8,2009,WD,Abnorml,172500
60,RL,89.0,11645,IR1,Corner,CollgCr,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,860,860,Ex,Y,SBrkr,860,860,1720,0,0,2,1,3,1,Gd,7,0,Attchd,2004.0,RFn,565,TA,TA,Y,0,70,8,2006,WD,Normal,196500
60,RL,66.0,13682,IR2,CulDSac,StoneBr,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0,1410,1410,Ex,Y,SBrkr,1426,1519,2945,0,0,3,1,3,1,Gd,10,1,BuiltIn,2006.0,Fin,641,TA,TA,Y,192,0,10,2006,New,Partial,438780
20,RL,60.0,7200,Reg,Inside,CollgCr,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,632,148,780,Ex,Y,SBrkr,780,0,780,0,0,1,0,2,1,TA,4,0,Detchd,1973.0,Unf,352,TA,TA,Y,196,0,1,2008,WD,Normal,124900
20,RL,63.0,13072,Reg,Inside,SawyerW,RRAe,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,941,217,1158,Ex,Y,SBrkr,1158,0,1158,1,0,1,1,3,1,Gd,5,0,Detchd,2006.0,Unf,576,TA,TA,Y,0,50,5,2006,New,Partial,158000
75,RM,60.0,7200,Reg,Inside,IDOTRR,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,0,530,530,TA,N,SBrkr,581,530,1111,0,0,1,0,3,1,Fa,6,0,Detchd,1935.0,Unf,288,TA,TA,N,0,0,3,2007,WD,Normal,101000
120,RL,44.0,6442,IR1,Inside,NridgHt,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,Gd,Mn,GLQ,24,1346,1370,Ex,Y,SBrkr,1370,0,1370,0,0,2,0,2,1,Gd,6,1,Attchd,2006.0,RFn,484,TA,TA,Y,120,49,10,2007,WD,Normal,202500
70,RM,50.0,10300,IR1,Inside,OldTown,RRAn,1Fam,2Story,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,576,576,Gd,Y,SBrkr,902,808,1710,0,0,2,0,3,1,TA,9,0,Detchd,1990.0,Unf,480,TA,TA,Y,12,11,4,2010,WD,Normal,140000
60,RL,,9375,Reg,Inside,CollgCr,Norm,1Fam,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,573.0,TA,TA,PConc,Gd,TA,No,GLQ,739,318,1057,Ex,Y,SBrkr,1057,977,2034,1,0,2,1,3,1,Gd,8,0,Attchd,1998.0,RFn,645,TA,TA,Y,576,36,2,2009,WD,Normal,219500
60,RL,76.0,9591,Reg,Inside,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,344.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,1143,1143,Ex,Y,SBrkr,1143,1330,2473,0,0,2,1,4,1,Gd,9,1,BuiltIn,2004.0,RFn,852,TA,TA,Y,192,151,10,2007,WD,Normal,317000
20,RL,,19900,Reg,Inside,NAmes,PosA,1Fam,1Story,7,5,1970,1989,Gable,CompShg,Plywood,Plywood,BrkFace,287.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,912,1035,1947,TA,Y,SBrkr,2207,0,2207,1,0,2,0,3,1,TA,7,1,Attchd,1970.0,RFn,576,TA,TA,Y,301,0,7,2010,WD,Normal,180000
20,RL,72.0,10665,IR1,Inside,CollgCr,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,167.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1013,440,1453,Ex,Y,SBrkr,1479,0,1479,1,0,2,0,3,1,Gd,7,0,Attchd,2003.0,RFn,558,TA,TA,Y,144,29,6,2007,WD,Normal,226000
